Id	Description	Qty	Unit	Designators	P/N	Manufacturer	MPN
1	Cable, 1 wires	0	m	LOCAL-EARTH			
2	Cable, 2 x 1 mm², BK	25	ft	ESD-STATUS	HOLD	Lapp	1030279
3	Cable, 25 x 0.5 mm² shielded, BK	25	ft	ACTUATOR-ANALOG	HOLD	Lapp	0032450
4	Cable, 4 x 12 AWG shielded, BK	50	ft	M1-POWER, M2-POWER	10300516	LUTZE	A3311204
5	Cable, 5 wires	25	ft	ACTUATOR-DISCRETE	HOLD	Lapp	HOLD
6	Cable, 6 wires	25	ft	ACTUATOR-DC-POWER	HOLD	Lapp	HOLD
7	Cable, 8 wires shielded, GN	50	ft	M1-RESOLVER, M2-RESOLVER	103xxxxx	Lapp	0036929
8	Cable, By others, 12 wires	0	m	DCS-DISCRETE			
9	Cable, By others, 15 wires shielded	0	m	DCS-ANALOG			
10	Cable, By others, 2 wires	0	m	SIS-ESD, SUPPLY-230V			
11	Cable, By others, 3 wires shielded	0	m	DCS-MODBUS			
12	Cable, By others, 5 wires	0	m	SUPPLY-400V			
13	Connector	22		+AJB-X1, +AJB-X1-MCP, +AJB-X2, +AJB-X2-MCP, +AJB-X3, +AJB-X4, +AJB-X4-MCP, +AJB-XEA, +AJB-XESD, +DP-X1, +DP-X2, +DP-X3, +DP-X4, +MCP-X1, +MCP-X2, +MCP-X3, +MCP-X4, +MCP-X5(T1), +MCP-X5(T2-T5), +MCP-X6, +MCP-XEA, +MCP-XESD			
14	Connector, By others	7		+DCS-ANALOG, +DCS-DISCRETE, +DCS-MODBUS, +SIS-XESD, +SUPPLY-X230, +SUPPLY-X400			
15	Connector, Circuit breaker	2		+MCP/6Q1, +MCP/6Q2			
16	Wire, GNYE	25	ft	ACTUATOR-PE	HOLD	HOLD	HOLD
